Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms)
2019-08-05,17,603.1963118209605,532.4296855926514,2.0,2,,,,,1.2911264635949578,2.825899839401245,0.3023758828639984,1328,,,,,28531669,319737,,
2019-08-06,202,2093.001726628198,5439.372174739838,57.0,57,,,,,2.387907600376227,14.74984359741211,0.24414373934268951,11712,,,,2580210,70309892,5068471,,
2019-08-07,114,2129.309948732911,7123.708129286766,63.0,62,,,,,0.8736655907280096,1.95641028881073,0.2540530264377594,10969,,,,,79250346,6778086,,
2019-08-08,36,1847.209114387722,1361.5806200504303,10.0,8,,,,,12.667383318985964,37.6859130859375,0.26985031366348267,3106,,,,,72181145,1983676,,
2019-08-09,44,1718.4280060931292,287.35274237394333,,,,,,,0.6051126676149752,0.7632961869239807,0.31027713418006897,3450,,,,,81461582,664600,60606,
2019-08-10,68,1890.294915809317,3238.0034011006355,30.0,29,,,,,0.9977583404214354,2.3221898078918457,0.2537526488304138,6726,,,,,79414596,3151545,243942,
2019-08-11,30,1780.9125750575665,543.881272315979,2.0,2,,,,,0.478061849566048,1.4352277517318726,0.2547358274459839,2931,,,,,82431500,1123634,149936,
2019-08-12,44,1743.7988231833722,1574.1835298538208,15.0,15,,,,,7.492378029317187,28.114540100097656,0.2510583996772766,4090,,,,,68584432,1574989,,
2019-08-13,66,1834.3207218313853,8.159398078918457,51.0,51,,,,,1.2561761052256326,4.294614315032959,0.27445197105407715,1378,,,,3162763,77657026,39888,,
2019-08-14,143,2143.291372095189,5167.1343384981155,91.0,91,,,,,2.3270536473357097,5.455169677734375,0.40026479959487915,9298,,,,2633336,75721679,5116197,,
2019-08-15,68,1745.2148016250696,2343.8417096138,22.0,21,,,,,1.2722344767783829,10.87923812866211,0.28039655089378357,6318,,,,,72646496,2178573,164415,
2019-08-16,163,1736.5412214270814,991.0009268522263,25.0,25,,,,,0.914430231236383,1.7960268259048462,0.29735010862350464,9625,,,,1563323,70755323,1884489,195731,
2019-08-17,262,1588.759760956773,2545.6926003694534,46.0,46,,,,,0.6547177205652708,3.7172322273254395,0.2420925348997116,15932,,,,2473177,48440291,4102917,590096,
2019-08-18,267,1766.7188893177245,4118.59524166584,11.0,11,,,,,2.2086901935372407,7.273549556732178,0.24250097572803497,18247,,,,,56044475,7545470,68229,
2019-08-19,271,1929.5804885061582,3462.681039392948,102.0,102,,,,,1.3711357454838635,4.381502628326416,0.25963032245635986,15375,,,,4267908,63783406,3763778,,
2019-08-20,187,1861.1485975669464,1715.9023298621178,46.0,46,,,,,1.2073173252494158,4.21104621887207,0.2670472264289856,10765,,,,2001611,72155231,1989809,540998,
2019-08-21,193,1903.6298046062923,2620.473020374775,36.0,36,,,,,1.0471960746593805,5.393726348876953,0.28978800773620605,12851,,,,1356112,70961536,4328630,139049,
2019-08-22,161,1953.751719960909,2987.226703584194,48.0,47,,,,,1.5084533386168908,14.888855934143066,0.2677634060382843,9500,,,,1799412,64317764,4491160,238143,
2019-08-23,296,1979.7808894542713,7286.944990575314,143.0,142,,,,,1.3038537430514145,7.9241790771484375,0.28839772939682007,20712,,,,4132415,51678931,7042500,230927,
2019-08-24,192,1734.1854211497912,1839.6508598327637,32.0,32,,,,,1.9646799627468827,27.31209945678711,0.26184165477752686,12734,,,,1180209,61866627,2843316,690491,
2019-08-25,138,1891.2705885400362,2285.6270716786385,7.0,7,,,,,0.7186601242693942,1.8913365602493286,0.2510583996772766,10018,,,,,76076491,3764804,384719,
2019-08-26,25,1638.5534343425259,,,,,,,,0.9635053873062134,0.9635053873062134,0.9635053873062134,1956,,,,,80805375,,,
2019-08-27,99,1668.4376410672428,1358.9528646469116,2.0,2,,,,,0.7934314438557147,1.644567608833313,0.2544640898704529,7481,,,,,61721946,3077714,137996,
2019-08-28,9,1740.4853962682935,362.0724503993988,1.0,1,,,,,1.5674831524922566,22.72507095336914,0.35890182852745056,921,,,,,82619214,570418,,
2019-08-29,28,1752.9775484277684,792.8367467522621,3.0,3,,,,,2.3218285173637865,4.966407299041748,0.3393093943595886,2345,,,,,82904976,932431,,
2019-08-30,43,1815.6389398327913,2059.8835232257843,22.0,22,,,,,2.072235002722032,4.229208946228027,0.38379332423210144,4327,,,,,82912763,1743578,,
2019-08-31,45,1415.0499505600014,1437.7912886738777,9.0,9,,,,,0.8088818568366234,1.8049349784851074,0.2557843327522278,4120,,,,,59502124,2575007,,
2019-09-01,105,1975.493666322705,4424.468648791313,37.0,37,,,,,2.545641764335843,35.234519958496094,0.2510583996772766,8541,,,,,73123611,5338861,64474,
2019-09-02,112,2003.2994179571554,5345.2467160224915,68.0,68,,,,,0.7745377938632112,1.7237545251846313,0.25018632411956787,9186,,,,1157989,74222056,4950366,,
2019-09-03,101,1843.5188430227656,2911.741095125675,40.0,40,,,,,1.8379558281711408,20.450700759887695,0.2910195589065552,7829,,,,495601,77855121,2438316,76937,
2019-09-04,49,1911.3316503615993,,45.0,45,,,,,,,,641,,,,2803621,83042967,,,
2019-09-05,64,1949.2823380455698,1182.4898880720139,33.0,33,,,,,0.9667170042695845,1.7776782512664795,0.23873946070671082,2898,,,,1900374,82050389,1704466,,
2019-09-06,183,1943.273346866279,6729.853601396084,79.0,79,,,,,1.0615564295286568,2.121715784072876,0.25083765387535095,15642,,,,1160267,62966592,7180880,125021,
2019-09-07,211,2159.140443097073,9485.345483958721,88.0,88,,,,,1.1367730647119352,18.712203979492188,0.23207470774650574,19608,,,,,62584742,11229092,,
2019-09-08,74,1782.6963337763343,2229.0666006207466,17.0,17,,,,,0.9410681941212874,16.438060760498047,0.2572319805622101,5724,,,,,76852591,2579805,,
2019-09-09,141,2148.002420172166,4899.362571716309,99.0,99,,,,,2.08228951163764,6.571888446807861,0.27012428641319275,8794,,,,3610588,74696960,4145979,137203,
2019-09-10,136,1829.4225767442094,2709.4280175566673,43.0,43,,,,,1.12992574734274,6.936992645263672,0.26101166009902954,9056,,,,1431314,70355672,2989810,,
2019-09-11,85,1834.1950854410313,2458.8251371979713,28.0,27,,,,,1.2244792501274195,2.374467372894287,0.2549334168434143,6939,,,,367467,76130972,2712919,100563,
2019-09-12,47,1906.1187574801875,2266.667584180832,24.0,24,,,,,1.1093256790974293,1.6847586631774902,0.31619447469711304,3803,,,,467188,82734771,2340196,67215,
2019-09-13,123,2028.3338698117934,6508.49703925848,65.0,65,,,,,1.460727399512234,16.798791885375977,0.25163549184799194,10786,,,,530984,72677499,6019658,,
2019-09-14,235,1735.2626315198765,2794.072283387184,16.0,16,,,,,0.7874276612056544,1.8195993900299072,0.27153581380844116,16506,,,,,66356243,4535201,177654,
2019-09-15,210,1817.8189693788513,4096.42608332634,24.0,24,,,,,1.286204971125512,11.165665626525879,0.25123071670532227,15978,,,,,68061728,5317943,,
2019-09-16,88,1707.6537513506705,3191.685289144516,33.0,33,,,,,1.6229140434016478,10.489311218261719,0.3013392984867096,6820,,,,679186,68578924,3153204,,
2019-09-17,228,2045.017959398408,4419.814885914326,61.0,56,,,,,1.388493461517379,12.377548217773438,0.2615191638469696,14231,,,,2198513,67794716,5338941,64511,
2019-09-18,171,1690.73448220223,2014.8841395378113,5.0,5,,,,,0.8646221667394676,1.9680005311965942,0.3120417594909668,12460,,,,,70515283,3121613,,
2019-09-19,220,2323.7697781054635,2951.7908218503,146.0,146,,,,,1.2078348154765584,3.364229202270508,0.2750420868396759,7481,,,,7845670,71257394,3140859,,
2019-09-20,107,1786.8434076302703,1288.9069717526436,30.0,30,,,,,2.7161175648411326,5.471867084503174,0.2530680298805237,6386,,,,1500565,71566481,2170032,250087,
2019-09-21,113,1818.5238308284,2513.7802300453186,30.0,30,,,,,2.1923901312703316,22.049861907958984,0.232738196849823,7967,,,,669845,70664737,2977965,183989,
2019-09-22,177,1872.543633184625,3608.9885583519936,16.0,16,,,,,1.9335506765838724,29.87154197692871,0.24613572657108307,12707,,,,,66865956,5327630,98591,
2019-09-23,73,1843.077264837805,2446.9506793022156,24.0,24,,,,,2.629232110281553,10.244638442993164,0.2519185245037079,6296,,,,,77196938,3034074,94880,
2019-09-24,168,1895.3267714060114,3658.324452638626,10.0,10,,,,,1.0172068135530015,1.6950243711471558,0.2510583996772766,11893,,,,,70138729,5445357,,
2019-09-25,131,2081.909452942962,7609.651272654533,67.0,67,,,,,1.3990882303906382,13.521158218383789,0.2626134157180786,12731,,,,,74116692,6998225,,
2019-09-26,178,2246.0226265408805,11345.788661956787,112.0,112,,,,,1.250212307364865,3.1802985668182373,0.2510583996772766,17944,,,,,70992736,10043667,,
2019-09-27,122,1941.9513666979847,5785.564485549927,56.0,56,,,,,1.5666097606891332,11.681418418884277,0.2460777908563614,11771,,,,,72101468,5387421,,
2019-09-28,218,1678.520902825365,2312.691326022148,36.0,36,,,,,1.8130639597905787,15.4345703125,0.2614901065826416,14441,,,,1211343,61902094,3624296,,
2019-09-29,91,1834.0527710755518,1579.535563647747,38.0,38,,,,,1.1871460536505467,1.68990957736969,0.282440721988678,6543,,,,744257,79055036,2214309,,
2019-09-30,142,2063.894648797648,5482.277374446392,75.0,74,,,,,0.9948747655621659,1.6428632736206055,0.25302568078041077,12104,,,,1104788,73698738,6099726,64568,
2019-10-01,119,2061.655311695413,4894.234871149063,83.0,83,,,,,1.4843267875437947,5.472076892852783,0.2785230278968811,8065,,,,2481027,76040188,4133259,,
2019-10-02,206,2171.9872289098507,10499.821617484093,103.0,103,,,,,1.0436721846402954,1.7188814878463745,0.2744908034801483,19033,,,,,71716145,9139772,88590,
2019-10-03,19,1699.2181966270787,236.89465379714966,4.0,4,,,,,1.345130765126679,23.909521102905273,0.2934688627719879,1740,,,,,81435549,301823,,
2019-10-04,97,1647.808849516458,599.8345191478729,30.0,30,,,,,1.2227367423334858,1.7606112957000732,0.2420540153980255,5595,,,,1906500,67051803,743412,60219,
2019-10-05,120,1676.4832139878088,1264.167217195034,5.0,5,,,,,0.7448031064689582,1.6627733707427979,0.2719799280166626,8900,,,,,73509959,1937955,68288,
2019-10-06,181,2024.8003301996423,6317.971782565117,69.0,69,,,,,1.3009711123173184,18.050291061401367,0.2551621198654175,13978,,,,1089001,66164691,6082630,,
2019-10-07,141,2005.9684869060136,4215.448689699173,36.0,34,,,,,1.1624648994178584,2.0486960411071777,0.26789286732673645,9917,,,,669663,72687526,5370071,,
2019-10-08,81,2024.6992984658336,4249.64715218544,53.0,53,,,,,1.4707893315261928,17.340524673461914,0.29843083024024963,6861,,,,663127,75571321,4476159,,
2019-10-09,46,1884.7511415813383,2526.7207173109055,17.0,16,,,,,0.9079297529798485,2.2131235599517822,0.25184541940689087,4081,,,,,82414615,2543559,,
2019-10-10,96,2013.7366102249262,1579.6536331176758,57.0,56,,,,,1.5808130403809713,4.454460144042969,0.24780157208442688,3918,,,,2963506,78741502,1993474,151578,
2019-10-11,278,2049.4550217351607,9814.820781290531,100.0,94,,,,,1.0090914140523022,3.9746310710906982,0.24415241181850433,23817,,,,409899,59740855,9380830,512738,
2019-10-12,74,1959.770681892192,4462.939109325409,40.0,40,,,,,0.8957465788404106,1.7097958326339722,0.26666703820228577,7447,,,,,76187944,4617542,,
2019-10-13,92,1971.4291774317371,4751.356109380722,41.0,41,,,,,0.6563978586027407,9.452201843261719,0.31026574969291687,8947,,,,,73736613,4859109,,
2019-10-14,78,1771.4420146867944,941.8086318969727,29.0,29,,,,,1.059424157987409,2.7340617179870605,0.4408985674381256,4998,,,,1143310,79317775,912573,,
2019-10-15,100,1857.518385562762,5971.99388051033,63.0,63,,,,,1.0638231071473603,1.7559226751327515,0.2583935260772705,9625,,,,388611,67011627,5878096,,
2019-10-16,123,1976.6656848012979,4866.720418095589,32.0,31,,,,,0.9916249989365823,1.7940852642059326,0.2651224136352539,10139,,,,,75159710,5873373,,
2019-10-17,238,2411.9304206961383,13745.390324175358,131.0,131,,,,,0.9644396903169721,1.6568801403045654,0.24908702075481415,22451,,,,,70552085,12734851,,
2019-10-18,37,1780.2063033359857,1662.8186025619507,16.0,16,,,,,1.2823712379041123,1.8059208393096924,0.2867283225059509,3451,,,,,81941917,1306144,,
2019-10-19,85,1815.9915475917594,2194.417233943939,14.0,14,,,,,0.7799442268666218,1.5494970083236694,0.2587771415710449,6687,,,,377425,76048166,2781302,,
2019-10-20,114,1874.5782084499613,2358.518272101879,29.0,29,,,,,0.5336088029645256,1.6210620403289795,0.2532862424850464,8055,,,,781234,72686151,3511007,68388,
2019-10-21,236,1930.5956542627707,4204.773450136185,50.0,50,,,,,1.6683156196544677,13.082515716552734,0.24848850071430206,15004,,,,1976747,59161813,6363043,,
2019-10-22,41,1820.4140374276562,2010.9949564933777,18.0,18,,,,,1.0080827542326047,1.4964184761047363,0.28478091955184937,3854,,,,,82393859,1942103,,
2019-10-23,,1751.4683744656031,,,,,,,,,,,35,,,,,86373783,,,
2019-10-24,54,1827.1372592172793,2825.3986070752144,29.0,28,,,,,1.9375862482715285,6.412353515625,0.24343056976795197,5628,,,,,77383734,2733376,91606,
2019-10-25,112,1859.6510591694969,3710.5119727253914,20.0,20,,,,,1.1446766853078219,2.409956932067871,0.27030348777770996,9120,,,,,74350014,4165618,,
2019-10-26,226,1616.9709084583226,2225.488091826439,8.0,8,,,,,0.9896810559616166,3.3585164546966553,0.29563984274864197,15295,,,,,62822429,4091720,,
2019-10-27,59,1912.896738344722,1975.0144970417023,15.0,14,,,,,1.0415305763538438,1.7016220092773438,0.2662830054759979,5057,,,,,83459844,2525234,,
2019-10-28,165,1791.1382845890585,2463.1981787085533,17.0,16,,,,,1.333196101888584,13.439691543579102,0.2615191638469696,11760,,,,120184,68981048,3725343,279686,
2019-10-29,146,1931.8795803167227,5916.622191905975,11.0,11,,,,,0.8596581458831251,1.795385479927063,0.2510583996772766,9713,,,,,69149216,6373605,117734,
2019-10-30,106,2019.4626742876371,6743.700285553932,79.0,75,,,,,0.8629537559338194,4.520402431488037,0.24678225815296173,9768,,,,1097496,72352452,4771055,,
2019-10-31,25,1803.5648425820434,1625.429922580719,13.0,12,,,,,0.712378317254451,2.332536458969116,0.2791023850440979,2540,,,,,83017460,1102414,,
2019-11-01,145,1929.627411900708,8324.710099935532,56.0,56,,,,,0.7485560065896886,1.9486888647079468,0.24632802605628967,13151,,,,,68781922,6747360,,
2019-11-02,80,2025.5929488944557,5431.903361558914,51.0,51,,,,,0.6370498542535005,1.6037110090255737,0.2615191638469696,8180,,,,,79420288,5262543,63242,
2019-11-03,38,1868.826207282952,2389.6390709877014,20.0,20,,,,,1.1095056723722942,1.8930459022521973,0.25930434465408325,3580,,,,,82333071,2255861,,
2019-11-04,205,2019.555435784004,9948.200706064701,49.0,48,,,,,1.026518859027486,4.8799285888671875,0.24823154509067535,15742,,,,398213,63127120,7570190,60880,
2019-11-05,66,1946.9481872568256,1409.7833623886108,40.0,40,,,,,0.9070754096213024,2.0832412242889404,0.2552820146083832,2332,,,,2331123,80322176,1675549,,
2019-11-06,28,1835.517759823195,585.020816385746,12.0,12,,,,,0.5330127938502235,1.1700958013534546,0.24704405665397644,1124,,,,769498,83988264,908533,,
2019-11-07,43,1881.1377130910842,1364.6287467479706,22.0,22,,,,,1.177108477245368,9.072626113891602,0.2615191638469696,2301,,,,1002230,82522612,1506489,68300,
2019-11-08,109,2016.0204738237112,6665.857998967171,47.0,46,,,,,1.1747162993162963,18.665225982666016,0.24570241570472717,10493,,,,,68464113,6678437,195890,
2019-11-09,61,1907.3383284452439,4404.670089960098,41.0,41,,,,,0.940082272819248,6.820205211639404,0.24658410251140594,6546,,,,,79088299,3483405,,
2019-11-10,50,1900.1864293219946,3092.2538452148438,22.0,22,,,,,0.5826819197660745,1.7259905338287354,0.24628570675849915,5068,,,,,80142294,3569879,,
2019-11-11,202,2024.1004102910365,7240.176162540913,28.0,27,,,,,0.9966870421050987,4.687250137329102,0.2444210797548294,12128,,,,1222348,68320644,6025644,129180,
2019-11-12,124,1917.3040774886565,8139.8126283288,70.0,70,,,,,2.0960023567396306,9.966107368469238,0.24140623211860657,12032,,,,,75196769,3939977,501412,
2019-11-13,88,1898.074269372925,5521.017213106155,43.0,43,,,,,0.593350595045347,1.5395817756652832,0.2510583996772766,8218,,,,,79735655,3649476,,
2019-11-14,53,1878.7438521988763,1703.1985783576965,31.0,31,,,,,0.9452291042544314,17.345653533935547,0.24144715070724487,2812,,,,1380405,80439657,1235427,67136,
2019-11-15,205,2069.1495291042556,10276.386710643768,57.0,57,,,,,0.5874654296646589,2.32265305519104,0.2426559031009674,16457,,,,,62514709,8667574,878301,
2019-11-16,114,1023.0672779260482,4360.200433135033,20.0,19,,,,,0.7514697941136131,1.7046266794204712,0.2573525011539459,6978,,,,739042,40052462,1166483,401516,
2019-11-17,65,1877.9543720836825,2746.9982348680496,26.0,26,,,,,0.8258504411476384,2.1623809337615967,0.2510583996772766,4454,,,,617376,75654550,2396718,119225,
2019-11-18,159,1622.1693549100983,6594.648778676987,16.0,15,,,,,1.2488431653525969,11.94979190826416,0.2505870461463928,11019,,,,,64608033,2898650,71959,
2019-11-19,31,1765.2405033272446,1591.9983885884285,6.0,5,,,,,0.5753769229231441,1.8733024597167969,0.25537171959877014,2693,,,,,82477761,1204000,,
2019-11-20,4,1731.1585452781655,172.6040654182434,,,,,,,0.586380491363169,1.0471923351287842,0.31382298469543457,376,,,,,85372204,,,
2019-11-21,83,1917.1834116399746,2401.1743488311768,38.0,38,,,,,0.9216623061548059,1.9713534116744995,0.2543959617614746,3984,,,,2045549,78168637,2156634,,
